name,online_order,book_table,rate,votes,location,rest_type,cuisines,2_people,type
Empire Restaurant,Yes,No,3.9,3831,HSR,Casual Dining,others,750.0,Buffet
Howrah Bridge,Yes,No,3.3,292,HSR,Casual Dining,others,600.0,Buffet
Atithi,Yes,Yes,3.9,224,HSR,Casual Dining,others,800.0,Buffet
SSignature,No,No,3.7535684020485616,0,HSR,Casual Dining,"North Indian, South Indian, Chinese",800.0,Buffet
Foxtrot - House of Subculture,No,Yes,4.4,366,others,others,others,1000.0,Buffet
Barbeque Nation,No,Yes,4.7,3614,Koramangala 1st Block,Casual Dining,others,1600.0,Buffet
Opus Food Stories,No,Yes,4.6,174,Sarjapur Road,others,others,1500.0,Buffet
Spice It - Ibis Hotel,No,Yes,3.0,74,others,Casual Dining,others,1200.0,Buffet
The Hub - Ibis Hotel,No,No,3.7,51,others,others,others,1500.0,Buffet
Zee5 Loft,Yes,No,4.4,788,HSR,Cafe,others,700.0,Cafes
Tea Villa Cafe,Yes,Yes,4.2,859,HSR,others,others,800.0,Cafes
Onesta,Yes,Yes,4.4,3764,HSR,others,others,600.0,Cafes
Here & Now,No,No,4.6,1580,HSR,Cafe,others,750.0,Cafes
Amour Fine Patisserie,Yes,Yes,4.0,82,HSR,others,others,500.0,Cafes
Sector 7 CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,4.3,1101,HSR,Cafe,others,700.0,Cafes
Still Sipping,Yes,Yes,3.7535684020485616,0,HSR,Cafe,others,800.0,Cafes
Blk Plus Wht,No,No,4.3,112,HSR,others,others,800.0,Cafes
Grapevine,Yes,Yes,4.1,733,HSR,Cafe,others,1200.0,Cafes
Third Wave Coffee Roasters,Yes,No,4.2,140,HSR,Cafe,"Cafe, Continental",800.0,Cafes
La Estranger Cafe,Yes,No,3.8,47,HSR,Cafe,others,500.0,Cafes
Caffe Pascucci,Yes,Yes,4.1,720,HSR,Cafe,others,950.0,Cafes
Smally's Resto Cafe,Yes,No,4.0,128,HSR,Cafe,others,650.0,Cafes
Soup'ermanz Kitchen,Yes,No,4.1,439,HSR,Cafe,others,750.0,Cafes
Tea Addict,Yes,No,4.0,77,HSR,Cafe,others,300.0,Cafes
Grilliez,Yes,No,4.1,564,HSR,Cafe,others,600.0,Cafes
Sunny Cafe & Kitchen,Yes,Yes,3.8,499,HSR,others,others,700.0,Cafes
The Grub Central,Yes,Yes,4.0,803,HSR,Cafe,others,700.0,Cafes
The Chocolate Room,Yes,No,3.9,205,HSR,others,others,600.0,Cafes
House Stark Cafe,Yes,No,3.9,44,HSR,Cafe,others,300.0,Cafes
Cafe Mondo,Yes,No,3.6,484,HSR,others,others,700.0,Cafes
JFD Cafe,Yes,No,2.8,37,HSR,Cafe,Cafe,400.0,Cafes
Chef Baker's,Yes,No,3.8,204,HSR,others,others,600.0,Cafes
Keep It Straight Cafe,Yes,Yes,3.9,202,HSR,Cafe,others,500.0,Cafes
Canopy Flavours,No,No,2.6,49,HSR,Cafe,"Cafe, Fast Food",450.0,Cafes
The Open Cafe,Yes,No,3.7,15,HSR,Cafe,others,500.0,Cafes
Cafe Coffee Day,No,No,3.8,36,HSR,Cafe,Cafe,650.0,Cafes
That Garage Cafe,Yes,No,3.1,101,HSR,Cafe,others,650.0,Cafes
Brimstone Cafe,Yes,Yes,4.0,390,HSR,others,others,1300.0,Cafes
The Wicked Cup,No,No,3.9,56,HSR,Cafe,others,350.0,Cafes
Gold Bean,No,No,2.5,113,HSR,Cafe,Cafe,550.0,Cafes
Kairos,No,No,3.8,63,HSR,Cafe,others,1000.0,Cafes
Chaai Resto,Yes,No,3.9,92,HSR,others,others,250.0,Cafes
Big Mama,No,No,3.3,6,HSR,Cafe,others,600.0,Cafes
UBCR Cafe & Resto,No,No,3.6,17,HSR,Cafe,others,500.0,Cafes
Go Native,No,No,3.7535684020485616,0,HSR,others,others,800.0,Cafes
Talk Over Table Cafe,No,No,3.7,85,HSR,Cafe,others,500.0,Cafes
Bistro Claytopia,Yes,Yes,4.1,1847,Koramangala 1st Block,Cafe,others,600.0,Cafes
Mimansa @ Foxtrot,Yes,Yes,4.4,190,others,Cafe,Cafe,1000.0,Cafes
Sky Bakery and Cafe,No,No,3.7535684020485616,0,others,others,others,350.0,Cafes
VegiGate,No,No,3.7535684020485616,0,Sarjapur Road,others,others,500.0,Cafes
Mid-Night Crunch,Yes,No,3.7,455,HSR,"Takeaway, Delivery","North Indian, Chinese",400.0,Delivery
Midnight Mania,Yes,No,4.1,723,Koramangala 6th Block,Delivery,others,700.0,Delivery
Truly Punjab,Yes,No,4.1,373,Koramangala 1st Block,"Takeaway, Delivery","North Indian, Biryani",500.0,Delivery
M.M Restaurant,Yes,No,3.9,184,HSR,Casual Dining,others,600.0,Delivery
Biryani Miya,Yes,No,3.7,46,Sarjapur Road,Delivery,"Biryani, North Indian",600.0,Delivery
Kokomo,Yes,No,4.0,195,Koramangala 6th Block,Delivery,others,500.0,Delivery
Night Fox,Yes,No,3.2,22,others,"Takeaway, Delivery","South Indian, North Indian, Chinese",500.0,Delivery
Hungry Queen,Yes,No,3.6,39,HSR,"Takeaway, Delivery","North Indian, Chinese, Fast Food",300.0,Delivery
Crunch Pizzas - Express Delivery,Yes,No,3.0,238,Indiranagar,Delivery,Pizza,500.0,Delivery
The Charcoal Factory,Yes,No,4.1,292,Koramangala 6th Block,Quick Bites,others,600.0,Delivery
Nite Out,Yes,No,4.0,353,Sarjapur Road,Delivery,"North Indian, Chinese, Biryani",500.0,Delivery
La Estranger Cafe,Yes,No,3.8,47,HSR,Cafe,others,500.0,Delivery
The Kitchen Story,Yes,No,3.2,19,HSR,Delivery,"North Indian, Chinese",300.0,Delivery
Abhiruchi Hotel,Yes,No,3.2,12,others,Casual Dining,others,700.0,Delivery
DinePost9,Yes,No,3.9,227,Koramangala 1st Block,Delivery,others,450.0,Delivery
Happy Days,Yes,No,3.1,54,others,Delivery,others,500.0,Delivery
Fish Chain,Yes,No,4.0,57,HSR,"Takeaway, Delivery",others,250.0,Delivery
Easy Bites,Yes,No,3.8,45,HSR,"Takeaway, Delivery",others,300.0,Delivery
Chai Point,Yes,No,4.0,317,HSR,others,others,250.0,Delivery
Lassi Shop,Yes,No,3.9,153,Bellandur,others,others,200.0,Delivery
Hyderabadi Biryani Hub,Yes,No,3.5,46,Sarjapur Road,Quick Bites,"Biryani, North Indian",600.0,Delivery
Empire Restaurant,Yes,No,4.0,88,HSR,"Takeaway, Delivery",others,400.0,Delivery
Eat Well,Yes,No,3.5,32,Indiranagar,Quick Bites,"North Indian, Chinese",400.0,Delivery
Golden Restaurant,Yes,Yes,3.4,410,HSR,Casual Dining,"North Indian, Mughlai",750.0,Delivery
Shanmukha,Yes,No,4.0,987,HSR,Casual Dining,others,800.0,Delivery
Reddy's Restaurant,Yes,No,3.7,34,Sarjapur Road,Casual Dining,others,500.0,Delivery
Juice Shop,Yes,No,3.7,15,HSR,"Takeaway, Delivery",others,150.0,Delivery
Behrouz Biryani,Yes,No,4.0,99,HSR,Delivery,Biryani,650.0,Delivery
Punjabites,Yes,No,3.8,7,HSR,"Takeaway, Delivery",others,400.0,Delivery
XO Belgian Waffle,Yes,No,4.5,143,HSR,Dessert Parlor,"Desserts, Beverages",400.0,Delivery
Aasife & Brothers Biriyani Centre,Yes,No,3.9,125,HSR,Casual Dining,others,600.0,Delivery
Masala Secret Eat WOW,Yes,No,3.6,14,HSR,Quick Bites,others,300.0,Delivery
The Pancake Story,Yes,No,4.6,118,Koramangala 1st Block,Dessert Parlor,"Desserts, Beverages",300.0,Delivery
Firangi Bake,Yes,No,3.9,21,Koramangala 1st Block,Delivery,others,600.0,Delivery
Faasos,Yes,No,4.0,67,Koramangala 1st Block,Delivery,others,500.0,Delivery
McDonald's,Yes,No,3.8,510,HSR,Quick Bites,"Burger, Fast Food",500.0,Delivery
Stoned Monkey,Yes,No,3.9,230,HSR,Dessert Parlor,"Desserts, Ice Cream",500.0,Delivery
Bubble Bee,Yes,No,3.9,46,HSR,Dessert Parlor,others,400.0,Delivery
Barbeque Delight,Yes,Yes,3.8,189,Sarjapur Road,Casual Dining,others,800.0,Delivery
Sweet Truth,Yes,No,4.0,19,Koramangala 1st Block,Delivery,"Bakery, Desserts",500.0,Delivery
Abhiruchi Restaurant,Yes,No,3.4,6,Sarjapur Road,Casual Dining,others,400.0,Delivery
The Good Bowl,Yes,No,3.6,8,Koramangala 1st Block,"Takeaway, Delivery",others,500.0,Delivery
Delhi Food Point,Yes,No,3.3,910,Koramangala 1st Block,Quick Bites,others,250.0,Delivery
Karama Restaurant,Yes,No,3.4,11,HSR,"Takeaway, Delivery",others,400.0,Delivery
Navya's,Yes,No,2.9,46,HSR,Quick Bites,others,600.0,Delivery
BOX8- Desi Meals,Yes,No,4.2,460,HSR,"Takeaway, Delivery",others,500.0,Delivery
Onesta,Yes,Yes,4.4,3764,HSR,others,others,600.0,Delivery
Dabba Gosht,Yes,No,3.4,15,HSR,"Takeaway, Delivery",others,400.0,Delivery
Soup'ermanz Kitchen,Yes,No,4.1,439,HSR,Cafe,others,750.0,Delivery
Domino's Pizza,Yes,No,2.7,332,Sarjapur Road,Quick Bites,"Pizza, Fast Food",400.0,Delivery
Al-Bek,Yes,No,3.6,133,HSR,"Takeaway, Delivery",others,300.0,Delivery
Reddy's Paradise,Yes,No,3.5,11,Sarjapur Road,Quick Bites,others,400.0,Delivery
Cafe Coffee Day The Lounge,Yes,No,3.8,77,HSR,Cafe,"Cafe, Fast Food",650.0,Delivery
Biriyani's House,Yes,No,3.7535684020485616,0,HSR,Quick Bites,"Biryani, North Indian",200.0,Delivery
Vijayawada Style,Yes,No,3.2,22,others,Delivery,"North Indian, South Indian, Chinese",300.0,Delivery
Polar Bear,Yes,No,4.2,214,Bellandur,Dessert Parlor,others,400.0,Delivery
Mark,Yes,No,3.7,36,HSR,"Takeaway, Delivery",others,500.0,Delivery
Boxout,Yes,No,3.7535684020485616,0,HSR,Delivery,others,500.0,Delivery
Magnolia,Yes,Yes,4.1,671,others,Casual Dining,others,900.0,Delivery
Veg Rasoi,Yes,No,4.0,99,HSR,Delivery,others,600.0,Delivery
TY Biryani,Yes,No,3.7535684020485616,0,HSR,Quick Bites,others,500.0,Delivery
Karavali Kitchen,Yes,No,3.1,85,Sarjapur Road,Quick Bites,others,400.0,Delivery
Kitchens@HSR,Yes,No,3.1,247,HSR,"Takeaway, Delivery",others,200.0,Delivery
Kings Kitchen,Yes,No,3.7535684020485616,0,HSR,Delivery,"Biryani, North Indian",500.0,Delivery
4K Biryani,Yes,No,3.3,4,HSR,Delivery,"North Indian, Chinese",700.0,Delivery
Aligarh House,Yes,No,4.4,568,HSR,Delivery,others,400.0,Delivery
Annapurna Foods,Yes,No,3.5,12,Bellandur,Casual Dining,others,400.0,Delivery
Donne Biryani House,Yes,No,3.7,70,HSR,Delivery,"South Indian, Biryani",350.0,Delivery
Sardarji Londonwaley,Yes,No,3.9,307,Koramangala 1st Block,Delivery,North Indian,450.0,Delivery
Mojo Pizza - 2X Toppings,Yes,No,4.2,217,HSR,Delivery,Pizza,600.0,Delivery
Silbatti,No,Yes,4.0,1551,HSR,Casual Dining,North Indian,750.0,Delivery
Nellore Abhiruchi,Yes,No,3.3,7,HSR,Quick Bites,others,300.0,Delivery
Kapoor's Cafe,No,No,4.0,917,HSR,Casual Dining,North Indian,800.0,Delivery
The Punjabi Rasoi,No,No,4.0,1829,HSR,Casual Dining,North Indian,800.0,Delivery
Hunger Swipe Restaurant,No,No,3.7535684020485616,0,HSR,Casual Dining,"North Indian, Chinese",700.0,Delivery
HSR High Street,No,Yes,3.8,320,HSR,Casual Dining,others,800.0,Delivery
Fish & Fries Restaurant,No,No,4.0,649,HSR,Casual Dining,others,750.0,Delivery
Gavran Misal,Yes,No,3.7535684020485616,0,HSR,Quick Bites,Street Food,250.0,Delivery
Shaadi Ki Biryani,Yes,No,2.9,18,HSR,"Takeaway, Delivery",others,600.0,Delivery
Frozen Bottle,Yes,No,3.7535684020485616,0,Sarjapur Road,others,others,400.0,Delivery
Ziyan's Cafe 27th,No,Yes,4.0,60,HSR,Quick Bites,Kerala,300.0,Delivery
California Burrito,No,No,4.1,110,HSR,Quick Bites,others,400.0,Delivery
Punjabi Nawabi,Yes,No,4.0,988,HSR,Casual Dining,North Indian,500.0,Delivery
Burger King,Yes,No,4.1,352,HSR,Quick Bites,others,600.0,Delivery
Mustard Food Court,No,No,3.9,338,HSR,Casual Dining,"North Indian, Chinese",500.0,Delivery
90's,No,No,3.7535684020485616,0,HSR,Quick Bites,North Indian,200.0,Delivery
Chef Delicacies,Yes,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",others,400.0,Delivery
Apsara Ice Cream,No,No,4.5,194,HSR,Dessert Parlor,"Ice Cream, Desserts",200.0,Delivery
MAD Belgian Waffles,Yes,No,3.5,4,Sarjapur Road,Delivery,"Desserts, Beverages",300.0,Delivery
de Ranthal,No,No,3.8,33,HSR,Quick Bites,Kerala,300.0,Delivery
NY Pizza And Waffles,Yes,No,3.3,11,Sarjapur Road,Quick Bites,"Pizza, Fast Food",300.0,Delivery
Grilliez,Yes,No,4.1,564,HSR,Cafe,others,600.0,Delivery
La Pino'z Pizza,Yes,No,4.1,498,Koramangala 4th Block,Quick Bites,others,600.0,Delivery
Shankar Maanes Kitchen,Yes,No,3.8,33,HSR,Quick Bites,others,500.0,Delivery
Krutunga,No,No,3.6,289,HSR,Casual Dining,others,500.0,Delivery
Keventers,Yes,No,3.6,11,HSR,others,others,400.0,Delivery
Five Star Chicken,Yes,No,3.3,55,Sarjapur Road,Quick Bites,others,300.0,Delivery
Kaka-T-Cafe,No,No,4.0,60,HSR,Quick Bites,others,400.0,Delivery
Udupi Bhavan,Yes,No,3.8,170,HSR,Quick Bites,others,400.0,Delivery
Cupcake Noggins,No,No,4.1,104,HSR,Dessert Parlor,"Desserts, Bakery",300.0,Delivery
Tarlette,No,No,3.7535684020485616,0,HSR,others,"Bakery, Fast Food",560.0,Delivery
Rasana,Yes,No,3.7535684020485616,0,HSR,Quick Bites,others,250.0,Delivery
Mayur,Yes,Yes,3.7,20,others,Casual Dining,others,700.0,Delivery
Kadal Da Meen,Yes,No,3.9,117,HSR,Casual Dining,others,900.0,Delivery
Fruit Ball,No,No,3.7535684020485616,0,HSR,others,others,150.0,Delivery
The Thickshake Factory,No,No,3.6,8,HSR,others,others,350.0,Delivery
Udupi Palace,No,No,3.7,446,HSR,Quick Bites,"South Indian, North Indian, Chinese, Street Food",400.0,Delivery
IceBreakers,Yes,No,3.6,8,HSR,Dessert Parlor,"Desserts, Ice Cream",400.0,Delivery
The Buffet Table,No,Yes,3.7535684020485616,0,HSR,Casual Dining,others,1200.0,Delivery
Vasudev Adiga's,No,No,3.7,532,HSR,Casual Dining,"South Indian, North Indian, Chinese, Street Food",250.0,Delivery
Anjappar,No,No,2.9,304,HSR,Casual Dining,others,650.0,Delivery
Nutty Affair,Yes,No,3.7,29,HSR,Quick Bites,Desserts,350.0,Delivery
Curries'N' Fries,No,No,3.7,22,HSR,Quick Bites,others,400.0,Delivery
Donne Biriyani Mane,No,No,3.2,23,HSR,Quick Bites,"Biryani, Kebab",400.0,Delivery
Rolls On Wheels,No,No,3.6,217,HSR,Quick Bites,others,300.0,Delivery
Nandhini Deluxe,No,No,3.6,95,HSR,Casual Dining,others,800.0,Delivery
Uptown Sliders & Shakes,Yes,No,3.9,113,HSR,Quick Bites,others,600.0,Delivery
Cha-Cha Cha-Chi,No,No,3.3,4,HSR,Quick Bites,"Fast Food, Beverages",100.0,Delivery
Popular Bakery,No,No,3.7,36,HSR,others,"Desserts, Bakery",600.0,Delivery
@Italy,No,No,3.5,40,HSR,Quick Bites,others,700.0,Delivery
Idli & Dosa Cafe,No,No,2.6,91,HSR,Quick Bites,South Indian,200.0,Delivery
Shawarma Hunt,No,No,3.4,9,HSR,Quick Bites,others,300.0,Delivery
Spice of India & Chai Tales,No,No,3.7535684020485616,0,HSR,Quick Bites,others,400.0,Delivery
Vegan Heat,Yes,No,4.1,314,Koramangala 1st Block,"Takeaway, Delivery",others,650.0,Delivery
Ur Cutlet Factory,No,No,3.1,5,HSR,"Takeaway, Delivery",Fast Food,200.0,Delivery
Brown Box,No,No,3.7535684020485616,0,HSR,Delivery,"North Indian, Chinese",400.0,Delivery
Brunch Pizza,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",Pizza,550.0,Delivery
Paanwadi,No,No,3.3,6,HSR,Dessert Parlor,others,100.0,Delivery
Donne Biryani House,No,No,3.2,6,HSR,Quick Bites,Biryani,250.0,Delivery
Sree Abhiruchi,No,No,2.6,20,HSR,Casual Dining,others,600.0,Delivery
The Wicked Cup,No,No,3.9,56,HSR,Cafe,others,350.0,Delivery
Hyderabad Biryaani House,No,No,3.7,21,HSR,"Takeaway, Delivery",others,400.0,Delivery
Al Daaz,Yes,No,4.2,581,HSR,Casual Dining,others,550.0,Delivery
Tea Addict,Yes,No,4.0,77,HSR,Cafe,others,300.0,Delivery
Night Hawks,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",others,400.0,Delivery
Kolkata Roll & Fast Food,No,No,3.6,15,HSR,Quick Bites,Fast Food,250.0,Delivery
56 Bhoga Sweets,No,No,3.6,51,HSR,"Takeaway, Delivery","Mithai, Street Food",150.0,Delivery
Cake of the Day,No,No,3.7535684020485616,0,HSR,others,Bakery,150.0,Delivery
Murli,No,No,3.7,79,HSR,Quick Bites,others,500.0,Delivery
Urvashi,Yes,No,3.7535684020485616,0,HSR,Casual Dining,others,600.0,Delivery
Kolkata Rolls & Fast Food,Yes,No,3.5,142,HSR,"Takeaway, Delivery",others,200.0,Delivery
Hunger Meals,No,No,3.9,152,HSR,"Takeaway, Delivery",others,400.0,Delivery
Rara Avis,No,No,3.7,19,HSR,"Takeaway, Delivery",others,400.0,Delivery
Cutlet Shop,No,No,3.2,9,HSR,Quick Bites,others,200.0,Delivery
Brajwasi Catering Service,No,No,3.7535684020485616,0,HSR,Delivery,"North Indian, Chinese",200.0,Delivery
Spice of Andhra,No,No,3.7,41,HSR,Quick Bites,others,500.0,Delivery
Hotel Arogya,No,No,3.7535684020485616,0,HSR,Quick Bites,"South Indian, North Indian, Chinese",400.0,Delivery
Shiv Shakthi,Yes,No,4.0,176,HSR,Quick Bites,others,100.0,Delivery
The Baker's,No,No,2.4,32,HSR,others,"Bakery, Fast Food",500.0,Delivery
Big Mama,No,No,3.3,6,HSR,Cafe,others,600.0,Delivery
Thalassery Mess,No,No,3.3,7,HSR,others,Kerala,300.0,Delivery
Carnival Cakes & Breads,No,No,3.5,49,HSR,others,"Bakery, Fast Food",200.0,Delivery
Ithaa's Biriyani,No,No,3.4,12,HSR,Quick Bites,others,500.0,Delivery
ChopServe,No,No,3.5,5,HSR,Quick Bites,Chinese,300.0,Delivery
Cheesecake Alley,No,No,3.1,8,HSR,others,"Bakery, Desserts",400.0,Delivery
Sandwich Truffles,No,No,3.3,8,HSR,Quick Bites,Fast Food,400.0,Delivery
The Breakfast & Dinner Club,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",others,300.0,Delivery
Niranthara,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",North Indian,400.0,Delivery
Bombay Kulfis,No,No,3.8,41,HSR,Dessert Parlor,Ice Cream,200.0,Delivery
Laziz Pizza,Yes,No,3.7535684020485616,0,HSR,Quick Bites,others,400.0,Delivery
Muziris,No,No,3.6,24,HSR,Quick Bites,Kerala,250.0,Delivery
7 Degrees North,No,No,3.5,11,HSR,Casual Dining,North Indian,500.0,Delivery
The Thali Company,No,No,3.3,7,HSR,"Takeaway, Delivery",others,600.0,Delivery
Saahib,No,No,3.9,89,HSR,Quick Bites,others,300.0,Delivery
Andhra Vantillu,No,No,3.3,4,HSR,Quick Bites,"South Indian, North Indian",350.0,Delivery
Ammi's Biryani,No,No,2.8,114,HSR,Quick Bites,"Biryani, North Indian",500.0,Delivery
RJ Tiffin Service,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery","North Indian, South Indian",150.0,Delivery
Insta Cakes,No,No,3.7535684020485616,0,HSR,others,others,400.0,Delivery
Rolex Food Palace Restaurant,No,No,3.4,9,HSR,Casual Dining,others,850.0,Delivery
Master Bake,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",Bakery,300.0,Delivery
Ande Ka Funda,No,No,3.3,5,HSR,Quick Bites,others,200.0,Delivery
World Of Kebabs,No,No,3.4,5,HSR,Casual Dining,others,600.0,Delivery
Purani Dilli,No,No,3.2,4,HSR,Quick Bites,"North Indian, Chinese",300.0,Delivery
The Bigman's Cafe,No,No,3.7,31,HSR,"Takeaway, Delivery","North Indian, Chinese",450.0,Delivery
Om Nom Thai,No,No,3.9,30,others,others,others,400.0,Delivery
The Breakfeast,No,No,3.4,10,HSR,"Takeaway, Delivery",others,200.0,Delivery
Kaati Roll Delights,No,No,3.3,4,HSR,"Takeaway, Delivery",others,150.0,Delivery
Shiny Veg Kitchen,No,No,3.7535684020485616,0,HSR,Quick Bites,"North Indian, South Indian, Chinese",300.0,Delivery
SaJuSo,No,No,3.8,27,HSR,Delivery,others,200.0,Delivery
Sofiya Cakes,No,No,3.7535684020485616,0,HSR,others,"Bakery, Desserts",300.0,Delivery
Foodiction,No,No,3.7535684020485616,0,HSR,Quick Bites,others,500.0,Delivery
Spicy Menu,No,No,3.7535684020485616,0,HSR,Quick Bites,"Chinese, Thai",250.0,Delivery
Kombo King,No,No,3.7535684020485616,0,HSR,Delivery,others,300.0,Delivery
Mehek E Punjab,No,No,3.7535684020485616,0,HSR,Quick Bites,"North Indian, Chinese",400.0,Delivery
MK Dabbawala,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",North Indian,400.0,Delivery
Pathak's Kitchen,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery","North Indian, Chinese",300.0,Delivery
Anand Delhi Se,No,No,3.7535684020485616,0,HSR,Quick Bites,"North Indian, South Indian, Chinese",400.0,Delivery
Yaadgar Biriyani,No,No,3.7535684020485616,0,HSR,Quick Bites,"North Indian, Biryani",600.0,Delivery
Arzak,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",others,300.0,Delivery
Kahaani Cafe And Restaurant,No,No,3.7535684020485616,0,HSR,Quick Bites,"North Indian, Chinese",300.0,Delivery
Baba Da Dhaba,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",others,400.0,Delivery
Waffle Joint,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",others,250.0,Delivery
Warm Oven,Yes,No,4.0,153,HSR,others,"Bakery, Desserts",500.0,Delivery
RICE BAR,No,No,3.1,6,HSR,Delivery,"North Indian, Biryani",500.0,Delivery
King's Cafe And Restro,No,No,3.7535684020485616,0,HSR,Delivery,"North Indian, Biryani",550.0,Delivery
Amma's Cafe,No,No,3.2,6,HSR,Quick Bites,Fast Food,300.0,Delivery
The Little Chef,No,No,3.5,136,HSR,Casual Dining,"North Indian, Chinese",600.0,Delivery
Ambur Biryani,No,No,3.2,5,HSR,Quick Bites,others,450.0,Delivery
Foxtail Rodeo,No,No,3.5,13,others,others,others,300.0,Delivery
Tastydabba.in,No,No,3.7535684020485616,0,HSR,Delivery,North Indian,300.0,Delivery
Enroute,No,No,3.1,23,HSR,Quick Bites,others,300.0,Delivery
Goodness! Beverages,No,No,3.7535684020485616,0,HSR,Delivery,Beverages,250.0,Delivery
Shy Chef,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery","Fast Food, Beverages",350.0,Delivery
Sandy Cool Joint,No,No,3.7535684020485616,0,HSR,others,others,200.0,Delivery
Kuch Acha Khate Hain- Love for Food,No,No,3.7535684020485616,0,HSR,Delivery,North Indian,300.0,Delivery
Dhaba Central,No,No,3.3,5,HSR,Casual Dining,North Indian,650.0,Delivery
Biryani treat,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",Biryani,350.0,Delivery
Kolapasi Take away,No,No,3.7535684020485616,0,HSR,Quick Bites,"South Indian, North Indian",300.0,Delivery
Shree Upahara Veg,No,No,3.7535684020485616,0,HSR,Quick Bites,South Indian,200.0,Delivery
Cafe Foodywood,No,No,3.7535684020485616,0,HSR,Quick Bites,others,450.0,Delivery
Thakur's Kitchen,No,No,3.7535684020485616,0,HSR,Delivery,North Indian,500.0,Delivery
GrannyzHut,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",others,350.0,Delivery
Madeleine,No,No,3.7535684020485616,0,HSR,others,Bakery,400.0,Delivery
Chattar Mattar,No,No,3.5,11,HSR,Quick Bites,"North Indian, Chinese",150.0,Delivery
Sultan's Biryani,No,No,3.2,10,HSR,Delivery,"Biryani, North Indian",700.0,Delivery
UK Foods,No,No,3.7535684020485616,0,HSR,Delivery,South Indian,200.0,Delivery
Navab's,No,No,3.7535684020485616,0,HSR,Delivery,others,600.0,Delivery
The Sweet Paisley,No,No,3.7535684020485616,0,HSR,others,"Desserts, Bakery",300.0,Delivery
Fork n Dough,No,No,3.7535684020485616,0,HSR,others,"Bakery, Fast Food",200.0,Delivery
Royal Shark,No,No,3.7535684020485616,0,HSR,Casual Dining,"North Indian, Chinese",550.0,Delivery
Thali15,No,No,3.7535684020485616,0,HSR,Delivery,North Indian,300.0,Delivery
"When Hunger Strikes, Batman Delivers!",No,No,3.7535684020485616,0,HSR,Delivery,Fast Food,400.0,Delivery
Ranjitha Food Court,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",South Indian,300.0,Delivery
New GFC Dum Biryani,No,No,3.7535684020485616,0,HSR,Quick Bites,others,250.0,Delivery
Hotel Bismillah,No,No,3.7535684020485616,0,HSR,Quick Bites,others,400.0,Delivery
Vrikshah Kitchens,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery","South Indian, North Indian",200.0,Delivery
Nandini Cafe,No,No,3.7535684020485616,0,HSR,Quick Bites,Fast Food,200.0,Delivery
NR Bakery,No,No,3.7535684020485616,0,HSR,others,others,150.0,Delivery
Best Biryani,No,No,3.7535684020485616,0,HSR,Quick Bites,others,300.0,Delivery
U And N Health,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",others,400.0,Delivery
Pind XPRS,No,No,3.7535684020485616,0,HSR,Delivery,North Indian,300.0,Delivery
Maggi N Maggi House,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",Fast Food,300.0,Delivery
Vegetarea,No,No,3.7535684020485616,0,HSR,"Takeaway, Delivery",South Indian,250.0,Delivery
Amul Ice Cream,Yes,No,3.7535684020485616,0,HSR,Dessert Parlor,"Desserts, Ice Cream",100.0,Delivery
Dosa Time,Yes,No,3.8,109,Sarjapur Road,others,South Indian,200.0,Delivery
Bengaluru Donne Biriyani,No,No,3.7535684020485616,0,HSR,Quick Bites,"South Indian, Biryani",300.0,Delivery
Biryani Affair,Yes,No,3.5,147,HSR,Delivery,Biryani,350.0,Delivery
Ambur Star Briyani,No,No,2.8,227,HSR,Quick Bites,"Biryani, Kebab",500.0,Delivery
Potful,Yes,No,3.8,834,Sarjapur Road,Delivery,others,650.0,Delivery
Sangam Sweets,Yes,No,3.9,148,HSR,others,"Mithai, Street Food",200.0,Delivery
Juicemaker,No,No,3.7,68,HSR,others,"Beverages, Fast Food",400.0,Delivery
Go Italia,Yes,No,3.7535684020485616,0,HSR,Quick Bites,others,500.0,Delivery
Indiana Burgers,Yes,No,3.3,17,HSR,Delivery,others,300.0,Delivery
New Punjabi Dhaba,Yes,No,3.9,783,HSR,Quick Bites,"North Indian, Chinese",300.0,Delivery
Mani's Dum Biryani,Yes,No,4.0,897,Bellandur,Casual Dining,"Biryani, Kebab",750.0,Delivery
